Id			Sn	Sp	Acc	MCC	AUROC						Pre	F1	AUPRC
RF_model			0.828 	0.809 	0.819 	0.639 	0.893 								
LightGBM_model			0.809 	0.819 	0.814 	0.630 	0.879 						81.85	0.81	0.88
LR_model			0.768 	0.716 	0.742 	0.487 	0.820 						72.86	0.75	0.82
SVM_model			0.749 	0.730 	0.740 	0.481 	0.801 						73.68	0.74	0.77
KNN_model			0.791 	0.772 	0.781 	0.563 	0.807 						77.67	0.78	0.82
															
															
RF_model			0.852 	0.833 	0.835 	0.469 	0.924 								
LightGBM_model			0.852 	0.848 	0.848 	0.489 	0.922 						35.94	0.51	0.7
LR_model			0.833 	0.760 	0.767 	0.375 	0.879 						25.86	0.39	0.47
SVM_model			0.778 	0.783 	0.782 	0.364 	0.867 						26.42	0.39	0.35
KNN_model			0.852 	0.764 	0.772 	0.390 	0.883 						26.59	0.41	0.46
